42268507,touchdown,843,500,1645232706560
42268507,touchend,0,0,1645232706730
42268508,touchdown,845,364,1645232707235
42268508,touchend,0,0,1645232707422
42268509,touchdown,857,235,1645232707954
42268509,touchend,0,0,1645232708123
42268510,touchdown,874,77,1645232708736
42268510,touchend,0,0,1645232708932
42268511,touchdown,714,90,1645232709563
42268511,touchend,0,0,1645232709699
42268512,touchdown,718,206,1645232710322
42268512,touchend,0,0,1645232710457
42268513,touchdown,722,350,1645232711014
42268513,touchend,0,0,1645232711166
42268514,touchdown,720,492,1645232711746
42268514,touchend,0,0,1645232711908
42268515,touchdown,579,512,1645232712497
42268515,touchend,0,0,1645232712608
42268516,touchdown,549,352,1645232713240
42268516,touchend,0,0,1645232713384
42268517,touchdown,589,218,1645232713946
42268517,touchend,0,0,1645232714109
42268518,touchdown,586,97,1645232714708
42268518,touchend,0,0,1645232714843
42268519,touchdown,449,98,1645232715407
42268519,touchend,0,0,1645232715560
42268520,touchdown,441,213,1645232716141
42268520,touchend,0,0,1645232716327
42268521,touchdown,457,372,1645232716866
42268521,touchend,0,0,1645232717044
42268522,touchdown,452,501,1645232717575
42268522,touchend,0,0,1645232717803
42268523,touchdown,324,508,1645232718300
42268523,touchend,0,0,1645232718537
42268524,touchdown,304,356,1645232719075
42268524,touchend,0,0,1645232719279
42268525,touchdown,319,227,1645232719811
42268525,touchend,0,0,1645232719988
42268526,touchdown,326,93,1645232720612
42268526,touchend,0,0,1645232720772
42268527,touchdown,322,203,1645232721302
42268527,touchend,0,0,1645232721514
42268528,touchdown,317,350,1645232722012
42268528,touchend,0,0,1645232722231
42268529,touchdown,321,468,1645232722752
42268529,touchend,0,0,1645232722956
42268530,touchdown,460,508,1645232723529
42268530,touchend,0,0,1645232723757
42268531,touchdown,455,370,1645232724195
42268531,touchend,0,0,1645232724432
42268532,touchdown,468,228,1645232725021
42268532,touchend,0,0,1645232725216
42268533,touchdown,470,99,1645232725772
42268533,touchend,0,0,1645232725966
42268534,touchdown,604,85,1645232726480
42268534,touchend,0,0,1645232726700
42268535,touchdown,585,229,1645232727222
42268535,touchend,0,0,1645232727450
42268536,touchdown,590,365,1645232727965
42268536,touchend,0,0,1645232728184
42268537,touchdown,583,507,1645232728733
42268537,touchend,0,0,1645232729001
42268538,touchdown,732,506,1645232729623
42268538,touchend,0,0,1645232729827
42268539,touchdown,733,363,1645232730399
42268539,touchend,0,0,1645232730619
42268540,touchdown,730,221,1645232731124
42268540,touchmove,727,224,1645232731211
42268540,touchmove,727,225,1645232731220
42268540,touchmove,727,226,1645232731228
42268540,touchmove,727,227,1645232731236
42268540,touchmove,727,228,1645232731245
42268540,touchmove,727,229,1645232731261
42268540,touchmove,727,230,1645232731286
42268540,touchmove,727,229,1645232731335
42268540,touchmove,727,228,1645232731361
42268540,touchmove,727,227,1645232731370
42268540,touchmove,727,226,1645232731378
42268540,touchend,0,0,1645232731386
42268541,touchdown,732,96,1645232731858
42268541,touchend,0,0,1645232732103
42268542,touchdown,863,78,1645232732593
42268542,touchend,0,0,1645232732812
42268543,touchdown,850,231,1645232733285
42268543,touchend,0,0,1645232733521
42268544,touchdown,845,368,1645232734075
42268544,touchend,0,0,1645232734271
42268545,touchdown,841,493,1645232734801
42268545,touchend,0,0,1645232735005
42268546,touchdown,865,363,1645232735553
42268546,touchend,0,0,1645232735763
42268547,touchdown,860,234,1645232736302
42268547,touchend,0,0,1645232736522
42268548,touchdown,864,86,1645232737062
42268548,touchmove,863,92,1645232737172
42268548,touchmove,863,93,1645232737181
42268548,touchmove,863,92,1645232737273
42268548,touchend,0,0,1645232737289
42268549,touchdown,724,84,1645232737787
42268549,touchend,0,0,1645232738015
42268550,touchdown,715,222,1645232738546
42268550,touchend,0,0,1645232738757
42268551,touchdown,710,359,1645232739279
42268551,touchend,0,0,1645232739491
42268552,touchdown,711,497,1645232740055
42268552,touchend,0,0,1645232740299
42268553,touchdown,580,495,1645232740772
42268553,touchend,0,0,1645232741042
42268554,touchdown,586,359,1645232741580
42268554,touchend,0,0,1645232741858
42268555,touchdown,590,229,1645232742338
42268555,touchend,0,0,1645232742592
42268556,touchdown,600,90,1645232743115
42268556,touchend,0,0,1645232743335
42268557,touchdown,464,81,1645232743883
42268557,touchend,0,0,1645232744110
42268558,touchdown,445,215,1645232744707
42268558,touchend,0,0,1645232744919
42268559,touchdown,449,354,1645232745442
42268559,touchend,0,0,1645232745652
42268560,touchdown,463,490,1645232746183
42268560,touchend,0,0,1645232746403
42268561,touchdown,313,519,1645232746899
42268561,touchend,0,0,1645232747128
42268562,touchdown,321,356,1645232747625
42268562,touchend,0,0,1645232747845
42268563,touchdown,329,221,1645232748344
42268563,touchend,0,0,1645232748571
42268564,touchdown,335,76,1645232749085
42268564,touchend,0,0,1645232749280
42268565,touchdown,330,231,1645232749819
42268565,touchend,0,0,1645232750038
42268566,touchdown,330,361,1645232750536
42268566,touchend,0,0,1645232750755
42268567,touchdown,317,481,1645232751278
42268567,touchend,0,0,1645232751506
42268568,touchdown,458,500,1645232752087
42268568,touchend,0,0,1645232752290
42268569,touchdown,465,365,1645232752828
42268569,touchend,0,0,1645232753032
42268570,touchdown,463,235,1645232753563
42268570,touchmove,461,241,1645232753607
42268570,touchmove,461,242,1645232753632
42268570,touchmove,462,242,1645232753724
42268570,touchmove,463,242,1645232753749
42268570,touchmove,464,242,1645232753758
42268570,touchmove,465,242,1645232753766
42268570,touchend,0,0,1645232753774
42268571,touchdown,462,93,1645232754312
42268571,touchend,0,0,1645232754466
42268572,touchdown,591,93,1645232755021
42268572,touchend,0,0,1645232755166
42268573,touchdown,592,232,1645232755755
42268573,touchend,0,0,1645232755925
42268574,touchdown,583,364,1645232756465
42268574,touchend,0,0,1645232756642
42268575,touchdown,580,482,1645232757213
42268575,touchend,0,0,1645232757426
42268576,touchdown,721,509,1645232757966
42268576,touchend,0,0,1645232758201
42268577,touchdown,714,358,1645232758765
42268577,touchend,0,0,1645232758985
42268578,touchdown,730,225,1645232759464
42268578,touchend,0,0,1645232759719
42268579,touchdown,715,96,1645232760191
42268579,touchend,0,0,1645232760411
42268580,touchdown,856,87,1645232760974
42268580,touchend,0,0,1645232761203
42268581,touchdown,859,210,1645232761743
42268581,touchend,0,0,1645232761945
42268582,touchdown,837,365,1645232762477
42268582,touchend,0,0,1645232762687
42268583,touchdown,877,495,1645232763219
42268583,touchend,0,0,1645232763471
42268584,touchdown,858,356,1645232764009
42268584,touchmove,855,361,1645232764054
42268584,touchmove,855,362,1645232764072
42268584,touchmove,855,363,1645232764088
42268584,touchmove,855,362,1645232764205
42268584,touchmove,856,361,1645232764214
42268584,touchmove,856,360,1645232764222
42268584,touchmove,856,359,1645232764238
42268584,touchend,0,0,1645232764247
42268585,touchdown,871,232,1645232764753
42268585,touchend,0,0,1645232764997
42268586,touchdown,860,108,1645232765461
42268586,touchmove,857,115,1645232765680
42268586,touchmove,857,114,1645232765689
42268586,touchmove,857,113,1645232765706
42268586,touchend,0,0,1645232765722
42268587,touchdown,726,119,1645232766220
42268587,touchmove,724,124,1645232766414
42268587,touchmove,724,123,1645232766431
42268587,touchmove,724,122,1645232766440
42268587,touchmove,724,121,1645232766448
42268587,touchend,0,0,1645232766464
42268588,touchdown,718,230,1645232766978
42268588,touchend,0,0,1645232767223
42268589,touchdown,707,346,1645232767762
42268589,touchend,0,0,1645232767982
42268590,touchdown,724,507,1645232768514
42268590,touchend,0,0,1645232768758
